Time	Open	High	Low	Close	Volume
2020-06-12 15:40:00	107.336	107.374	107.336	107.362	1245
2020-06-12 15:45:00	107.365	107.386	107.341	107.373	979
2020-06-12 15:50:00	107.372	107.375	107.341	107.355	815
2020-06-12 15:55:00	107.355	107.371	107.334	107.369	1021
2020-06-12 16:00:00	107.369	107.416	107.353	107.39	1087
2020-06-12 16:05:00	107.39	107.431	107.388	107.397	850
2020-06-12 16:10:00	107.399	107.423	107.384	107.408	966
2020-06-12 16:15:00	107.408	107.422	107.385	107.409	917
2020-06-12 16:20:00	107.414	107.439	107.391	107.43	1129
2020-06-12 16:25:00	107.431	107.456	107.424	107.444	1298
2020-06-12 16:30:00	107.447	107.465	107.444	107.454	1032
2020-06-12 16:35:00	107.453	107.49	107.451	107.484	749
2020-06-12 16:40:00	107.484	107.484	107.452	107.472	1161
2020-06-12 16:45:00	107.475	107.475	107.447	107.453	870
2020-06-12 16:50:00	107.454	107.454	107.423	107.423	680
2020-06-12 16:55:00	107.423	107.507	107.421	107.497	1601
2020-06-12 17:00:00	107.496	107.522	107.474	107.475	1406
2020-06-12 17:05:00	107.476	107.476	107.436	107.458	1054
2020-06-12 17:10:00	107.462	107.494	107.452	107.493	1181
2020-06-12 17:15:00	107.493	107.494	107.454	107.466	843
2020-06-12 17:20:00	107.464	107.494	107.46	107.492	591
2020-06-12 17:25:00	107.494	107.518	107.483	107.511	752
2020-06-12 17:30:00	107.511	107.514	107.489	107.502	731
2020-06-12 17:35:00	107.502	107.522	107.5	107.517	663
2020-06-12 17:40:00	107.516	107.522	107.485	107.485	783
2020-06-12 17:45:00	107.485	107.516	107.483	107.503	986
2020-06-12 17:50:00	107.503	107.509	107.434	107.455	941
2020-06-12 17:55:00	107.454	107.458	107.398	107.453	963
2020-06-12 18:00:00	107.455	107.482	107.454	107.461	1185
2020-06-12 18:05:00	107.461	107.462	107.427	107.453	958
2020-06-12 18:10:00	107.452	107.501	107.447	107.498	799
2020-06-12 18:15:00	107.498	107.514	107.487	107.49	840
2020-06-12 18:20:00	107.489	107.501	107.481	107.481	689
2020-06-12 18:25:00	107.48	107.493	107.461	107.482	551
2020-06-12 18:30:00	107.481	107.496	107.463	107.468	732
2020-06-12 18:35:00	107.469	107.482	107.443	107.459	952
2020-06-12 18:40:00	107.459	107.468	107.441	107.465	500
2020-06-12 18:45:00	107.465	107.467	107.435	107.45	733
2020-06-12 18:50:00	107.45	107.478	107.45	107.462	685
2020-06-12 18:55:00	107.462	107.462	107.436	107.441	730
2020-06-12 19:00:00	107.442	107.459	107.426	107.428	506
2020-06-12 19:05:00	107.431	107.448	107.427	107.438	626
2020-06-12 19:10:00	107.436	107.447	107.419	107.446	640
2020-06-12 19:15:00	107.447	107.447	107.422	107.427	652
2020-06-12 19:20:00	107.428	107.446	107.426	107.43	464
2020-06-12 19:25:00	107.429	107.447	107.422	107.441	507
2020-06-12 19:30:00	107.44	107.449	107.425	107.449	406
2020-06-12 19:35:00	107.45	107.45	107.426	107.429	485
2020-06-12 19:40:00	107.429	107.445	107.422	107.435	485
2020-06-12 19:45:00	107.437	107.443	107.424	107.43	308
2020-06-12 19:50:00	107.43	107.432	107.407	107.414	540
2020-06-12 19:55:00	107.414	107.42	107.377	107.381	547
2020-06-12 20:00:00	107.379	107.392	107.355	107.36	562
2020-06-12 20:05:00	107.361	107.381	107.355	107.371	229
2020-06-12 20:10:00	107.374	107.377	107.354	107.362	293
2020-06-12 20:15:00	107.363	107.388	107.362	107.378	159
2020-06-12 20:20:00	107.378	107.391	107.378	107.389	103
2020-06-12 20:25:00	107.388	107.401	107.383	107.401	231
2020-06-12 20:30:00	107.401	107.406	107.386	107.388	109
2020-06-12 20:35:00	107.386	107.406	107.386	107.406	127
2020-06-12 20:40:00	107.406	107.418	107.389	107.405	290
2020-06-12 20:45:00	107.404	107.409	107.386	107.392	236
2020-06-12 20:50:00	107.392	107.392	107.341	107.348	396
2020-06-12 20:55:00	107.356	107.382	107.31	107.379	605
2020-06-14 21:05:00	107.295	107.3	107.293	107.295	21
2020-06-14 21:10:00	107.294	107.302	107.294	107.297	20
2020-06-14 21:15:00	107.297	107.299	107.293	107.299	8
2020-06-14 21:20:00	107.294	107.299	107.293	107.299	6
2020-06-14 21:25:00	107.294	107.299	107.293	107.299	10
2020-06-14 21:30:00	107.294	107.317	107.293	107.299	19
