Time	Open	High	Low	Close	Volume
2019-02-11 18:15:00	110.458	110.468	110.434	110.437	842
2019-02-11 18:30:00	110.437	110.451	110.413	110.42	1020
2019-02-11 18:45:00	110.42	110.435	110.41	110.431	953
2019-02-11 19:00:00	110.431	110.436	110.408	110.416	700
2019-02-11 19:15:00	110.416	110.416	110.384	110.392	1189
2019-02-11 19:30:00	110.394	110.42	110.385	110.413	959
2019-02-11 19:45:00	110.413	110.414	110.382	110.399	1071
2019-02-11 20:00:00	110.401	110.406	110.355	110.364	1241
2019-02-11 20:15:00	110.364	110.385	110.364	110.379	1224
2019-02-11 20:30:00	110.379	110.387	110.369	110.383	1001
2019-02-11 20:45:00	110.382	110.406	110.382	110.399	791
2019-02-11 21:00:00	110.396	110.396	110.368	110.375	367
2019-02-11 21:15:00	110.374	110.383	110.368	110.383	573
2019-02-11 21:30:00	110.382	110.387	110.365	110.365	566
2019-02-11 21:45:00	110.366	110.391	110.36	110.361	903
2019-02-11 22:00:00	110.361	110.371	110.336	110.359	2741
2019-02-11 22:15:00	110.36	110.381	110.355	110.359	4717
2019-02-11 22:30:00	110.365	110.385	110.36	110.363	1798
2019-02-11 22:45:00	110.364	110.396	110.363	110.383	2037
2019-02-11 23:00:00	110.383	110.492	110.372	110.433	3452
2019-02-11 23:15:00	110.433	110.433	110.37	110.37	1029
2019-02-11 23:30:00	110.365	110.4	110.365	110.372	564
2019-02-11 23:45:00	110.373	110.404	110.355	110.393	1408
2019-02-12 00:00:00	110.394	110.506	110.38	110.431	2878
2019-02-12 00:15:00	110.431	110.472	110.412	110.457	1353
2019-02-12 00:30:00	110.457	110.498	110.445	110.488	1650
2019-02-12 00:45:00	110.488	110.54	110.475	110.508	3245
2019-02-12 01:00:00	110.506	110.537	110.417	110.437	2348
2019-02-12 01:15:00	110.436	110.469	110.346	110.452	3231
2019-02-12 01:30:00	110.45	110.519	110.407	110.445	3729
2019-02-12 01:45:00	110.444	110.47	110.396	110.466	2099
2019-02-12 02:00:00	110.466	110.471	110.436	110.469	1838
2019-02-12 02:15:00	110.467	110.47	110.403	110.453	1437
2019-02-12 02:30:00	110.453	110.496	110.447	110.479	1653
2019-02-12 02:45:00	110.48	110.488	110.469	110.476	1038
2019-02-12 03:00:00	110.476	110.482	110.43	110.476	1300
2019-02-12 03:15:00	110.475	110.491	110.471	110.483	823
2019-02-12 03:30:00	110.483	110.562	110.478	110.554	1466
2019-02-12 03:45:00	110.554	110.651	110.554	110.648	1873
2019-02-12 04:00:00	110.647	110.647	110.598	110.609	1501
2019-02-12 04:15:00	110.61	110.621	110.58	110.598	1233
2019-02-12 04:30:00	110.6	110.603	110.551	110.579	1419
2019-02-12 04:45:00	110.579	110.596	110.567	110.592	658
2019-02-12 05:00:00	110.591	110.61	110.588	110.603	887
2019-02-12 05:15:00	110.603	110.615	110.54	110.559	1079
2019-02-12 05:30:00	110.559	110.584	110.552	110.584	1153
2019-02-12 05:45:00	110.584	110.592	110.557	110.573	1006
2019-02-12 06:00:00	110.573	110.594	110.535	110.542	1191
2019-02-12 06:15:00	110.542	110.581	110.54	110.554	1200
2019-02-12 06:30:00	110.552	110.553	110.521	110.524	751
2019-02-12 06:45:00	110.526	110.539	110.517	110.53	802
2019-02-12 07:00:00	110.532	110.536	110.505	110.524	847
2019-02-12 07:15:00	110.524	110.541	110.492	110.539	1393
2019-02-12 07:30:00	110.538	110.601	110.538	110.579	2330
2019-02-12 07:45:00	110.579	110.617	110.572	110.616	1180
2019-02-12 08:00:00	110.618	110.62	110.541	110.566	1971
2019-02-12 08:15:00	110.565	110.587	110.53	110.561	1575
2019-02-12 08:30:00	110.561	110.645	110.56	110.644	1547
2019-02-12 08:45:00	110.642	110.647	110.598	110.62	1921
2019-02-12 09:00:00	110.62	110.625	110.581	110.585	1145
2019-02-12 09:15:00	110.585	110.606	110.563	110.564	1424
2019-02-12 09:30:00	110.565	110.574	110.556	110.561	1175
2019-02-12 09:45:00	110.561	110.578	110.54	110.546	1522
2019-02-12 10:00:00	110.546	110.562	110.535	110.54	1053
2019-02-12 10:15:00	110.54	110.54	110.51	110.513	1137
2019-02-12 10:30:00	110.516	110.517	110.466	110.476	1511
2019-02-12 10:45:00	110.476	110.491	110.472	110.486	1067
2019-02-12 11:00:00	110.486	110.513	110.479	110.493	939
2019-02-12 11:15:00	110.493	110.524	110.493	110.523	794
2019-02-12 11:30:00	110.523	110.541	110.522	110.535	811
2019-02-12 11:45:00	110.535	110.548	110.521	110.531	902
2019-02-12 12:00:00	110.535	110.542	110.5	110.501	944
2019-02-12 12:15:00	110.5	110.507	110.482	110.496	1168
2019-02-12 12:30:00	110.495	110.503	110.418	110.427	1389
2019-02-12 12:45:00	110.426	110.441	110.401	110.405	2084
2019-02-12 13:00:00	110.406	110.422	110.386	110.393	1763
2019-02-12 13:15:00	110.393	110.419	110.365	110.415	1467
2019-02-12 13:30:00	110.415	110.429	110.376	110.406	1061
2019-02-12 13:45:00	110.406	110.438	110.405	110.434	1353
2019-02-12 14:00:00	110.435	110.452	110.413	110.42	1280
2019-02-12 14:15:00	110.42	110.433	110.358	110.359	1345
2019-02-12 14:30:00	110.361	110.414	110.344	110.407	2572
2019-02-12 14:45:00	110.407	110.469	110.4	110.469	2433
2019-02-12 15:00:00	110.471	110.517	110.469	110.487	2581
2019-02-12 15:15:00	110.488	110.535	110.476	110.51	1438
2019-02-12 15:30:00	110.513	110.534	110.476	110.498	1639
2019-02-12 15:45:00	110.497	110.526	110.485	110.511	2059
2019-02-12 16:00:00	110.51	110.537	110.484	110.52	2007
2019-02-12 16:15:00	110.52	110.525	110.482	110.505	2303
