Time	Open	High	Low	Close	Volume
2020-06-12 14:05:00	1.25759	1.25782	1.25729	1.25774	1711
2020-06-12 14:10:00	1.25774	1.25804	1.25729	1.25736	1968
2020-06-12 14:15:00	1.25735	1.25837	1.25735	1.25768	1861
2020-06-12 14:20:00	1.25767	1.25802	1.25755	1.25786	2184
2020-06-12 14:25:00	1.25787	1.25787	1.25728	1.2574	2093
2020-06-12 14:30:00	1.25742	1.25757	1.25592	1.25594	3897
2020-06-12 14:35:00	1.25595	1.25606	1.25543	1.25558	3311
2020-06-12 14:40:00	1.25557	1.25562	1.25492	1.25527	2610
2020-06-12 14:45:00	1.25525	1.25636	1.25503	1.25618	3321
2020-06-12 14:50:00	1.25616	1.25616	1.25464	1.25536	3760
2020-06-12 14:55:00	1.25534	1.25596	1.25342	1.25411	6228
2020-06-12 15:00:00	1.25409	1.25456	1.25199	1.25199	5460
2020-06-12 15:05:00	1.25196	1.25468	1.25196	1.25441	5262
2020-06-12 15:10:00	1.2544	1.25475	1.25371	1.25376	4418
2020-06-12 15:15:00	1.2538	1.25428	1.25261	1.25271	3807
2020-06-12 15:20:00	1.25268	1.25359	1.25212	1.25243	4221
2020-06-12 15:25:00	1.25243	1.2534	1.25211	1.25307	4469
2020-06-12 15:30:00	1.2531	1.25345	1.25211	1.25328	3840
2020-06-12 15:35:00	1.25329	1.25506	1.25321	1.25474	4277
2020-06-12 15:40:00	1.25472	1.25472	1.25255	1.25271	3633
2020-06-12 15:45:00	1.25271	1.25414	1.25255	1.25318	4753
2020-06-12 15:50:00	1.25319	1.25393	1.25289	1.25306	2744
2020-06-12 15:55:00	1.25309	1.25315	1.25229	1.25239	3964
2020-06-12 16:00:00	1.25241	1.25255	1.25128	1.25192	4138
2020-06-12 16:05:00	1.25196	1.25247	1.25145	1.25149	2695
2020-06-12 16:10:00	1.2515	1.25257	1.2513	1.25232	2810
2020-06-12 16:15:00	1.25233	1.2526	1.25152	1.25223	2374
2020-06-12 16:20:00	1.25223	1.25256	1.25097	1.25097	2748
2020-06-12 16:25:00	1.25099	1.25204	1.25071	1.25161	2527
2020-06-12 16:30:00	1.25161	1.25181	1.25082	1.25082	3369
2020-06-12 16:35:00	1.25085	1.25105	1.25038	1.25065	2362
2020-06-12 16:40:00	1.25064	1.25125	1.25054	1.25092	1699
2020-06-12 16:45:00	1.25094	1.25097	1.2502	1.25052	1755
2020-06-12 16:50:00	1.25052	1.25135	1.25052	1.25121	1921
2020-06-12 16:55:00	1.25121	1.25122	1.25018	1.25033	3208
2020-06-12 17:00:00	1.25034	1.25065	1.24996	1.25001	2492
2020-06-12 17:05:00	1.25001	1.25082	1.24999	1.25026	2751
2020-06-12 17:10:00	1.25023	1.25023	1.24964	1.24966	2108
